"rep","mes","tick_extinct"
"10832238",20,34,40002
"10840685",24,34,16902
"10926157",48,34,8802
"10950951",55,34,3302
"10954974",57,34,35902
"10982794",67,34,1002
"11015140",79,34,9602
"11017416",81,34,5002
"11026993",85,34,4202
"11048328",92,34,702
"11083501",4,35,1302
"11128823",17,35,2002
"11128989",18,35,15602
"11205721",38,35,20002
"11206151",39,35,42002
"11211339",41,35,17702
"11240720",51,35,12902
"11249756",55,35,1802
"11293692",67,35,1102
"11334104",79,35,4502
"11354136",86,35,3502
"11354276",87,35,12902
"11366401",92,35,2102
"11400694",4,36,6602
"11402701",6,36,2602
"11434986",17,36,1302
"11435271",18,36,27502
"11453148",24,36,8302
"11462411",28,36,5102
"11490307",38,36,5002
"11494816",41,36,30302
"11519262",51,36,19502
"11530570",55,36,1002
"11571162",67,36,602
"11621977",81,36,6902
"11632056",85,36,902
"11637113",87,36,4602
"11642436",89,36,31202
"11645051",92,36,3202
"11687124",3,37,4602
"11687302",4,37,16702
"11692376",6,37,6302
"11735418",17,37,1902
"11817415",39,37,18602
"11822512",41,37,8602
"11843993",51,37,9602
"11852132",55,37,3302
"11903392",67,37,2602
"11947713",79,37,402
"11952751",81,37,2702
"11965733",85,37,9002
"11965766",86,37,2302
"11986765",92,37,1902
"12025687",4,38,1102
"12069382",18,38,5402
"12174884",48,38,40802
"12180244",51,38,3702
"12187277",55,38,8102
"12231692",67,38,5102
"12280243",79,38,3502
"12283020",81,38,9102
"12293922",85,38,3102
"12294025",86,38,9302
"12294055",87,38,2002
"12310150",92,38,3302
"12341076",2,39,44102
"12346106",4,39,1902
"12348107",6,39,4102
"12382567",17,39,5902
"12410156",27,39,5202
"12449491",38,39,10202
"12485810",51,39,5502
"12500897",55,39,7402
"12552458",67,39,3702
"12598693",79,39,2902
"12603786",81,39,8202
"12617822",85,39,4502
"12618236",86,39,40402
"12636017",92,39,802
"12671150",4,40,10002
"12676230",6,40,6902
"12712804",17,40,3102
"12712966",18,40,15202
