C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-2.06e-05,3.2,-1e-06,3.622448979591837,[0.3125],[0.27605634],[-5.59966057e-05],[-2.71828183e-06],0.9416329384685045,0.04900262374394715,-0.00041927057653668326,-1.1942394083519769e-06,-2.5e-05,-2.5e-05,808.8340299847134,24100.505135773008,False,False
-2.06e-05,3.2,-1e-06,3.7142857142857144,[0.3125],[0.26923077],[-5.59966057e-05],[-2.71828183e-06],0.809394586121112,0.05273991624456781,-0.0002746105058612824,-1.2163944540299474e-06,-2.5e-05,-2.5e-05,1147.74791441818,19768.438029660156,False,False
-2.06e-05,3.2,-1e-06,3.806122448979592,[0.3125],[0.26273458],[-5.59966057e-05],[-2.71828183e-06],0.9653003255948934,0.04862669078529033,-0.00045225768534120893,-1.203313665902158e-06,-2.5e-05,-2.5e-05,669.720985776998,26496.55450971829,False,False
-2.06e-05,3.2,-1e-06,3.8979591836734695,[0.3125],[0.2565445],[-5.59966057e-05],[-2.71828183e-06],0.9205411612772336,0.04918363647558087,-0.00039190630441946286,-1.21132621820097e-06,-2.5e-05,-2.5e-05,762.0450584535881,24875.63594470296,False,False
-2.06e-05,3.2,-1e-06,3.989795918367347,[0.3125],[0.25063939],[-5.59966057e-05],[-2.71828183e-06],0.9588181044279337,0.04915147843184982,-0.00044297308410218023,-1.2166538784756443e-06,-2.5e-05,-2.5e-05,723.2251238852087,25537.95363201292,False,False
-2.06e-05,3.2,-1e-06,4.081632653061225,[0.3125],[0.245],[-5.59966057e-05],[-2.71828183e-06],0.9769508665981473,0.0490061940456359,-0.00046943688009099823,-1.221433637833878e-06,-2.5e-05,-2.5e-05,617.549459637615,27482.014998559374,False,False
-2.06e-05,3.2,-1e-06,4.173469387755102,[0.3125],[0.2396088],[-5.59966057e-05],[-2.71828183e-06],0.9632140117499888,0.04932522785392002,-0.0004492483771914561,-1.2285779084283442e-06,-2.5e-05,-2.5e-05,680.8780038854386,26293.226937563915,False,False
-2.06e-05,3.2,-1e-06,4.26530612244898,[0.3125],[0.23444976],[-5.59966057e-05],[-2.71828183e-06],0.9616426902781083,0.049476722154117775,-0.00044699512328874754,-1.2349535597389444e-06,-2.5e-05,-2.5e-05,675.9767905423453,26379.374457972073,False,False
-2.06e-05,3.2,-1e-06,4.357142857142858,[0.3125],[0.2295082],[-5.59966057e-05],[-2.71828183e-06],2.4217813616428088,0.22967160374009665,-0.0478100636558242,-2.7202179009013213e-06,-2.5e-05,-2.5e-05,6.536280776267195,84371.25446628533,False,True
-2.06e-05,3.2,-1e-06,4.448979591836735,[0.3125],[0.22477064],[-5.59966057e-05],[-2.71828183e-06],0.973665429460304,0.04977333847852826,-0.00046452735605340465,-1.2478730813114301e-06,-2.5e-05,-2.5e-05,646.8861173757606,26926.765267523664,False,False
-2.06e-05,3.2,-1e-06,4.540816326530613,[0.3125],[0.22022472],[-5.59966057e-05],[-2.71828183e-06],0.9634696994553446,0.04995351610429672,-0.0004496161029250965,-1.2546162406681263e-06,-2.5e-05,-2.5e-05,657.6407105466809,26711.353842178174,False,False
-2.06e-05,3.2,-1e-06,4.63265306122449,[0.3125],[0.21585903],[-5.59966057e-05],[-2.71828183e-06],0.9663039806949414,0.05011558796189109,-0.00045371253470158574,-1.2613317812197245e-06,-2.5e-05,-2.5e-05,646.075409430096,26926.858762961914,False,False
-2.06e-05,3.2,-1e-06,4.724489795918368,[0.3125],[0.21166307],[-5.59966057e-05],[-2.71828183e-06],0.968297948159511,0.05029129914945042,-0.00045661679214374233,-1.2682027359811863e-06,-2.5e-05,-2.5e-05,637.762877437219,27083.388356630585,False,False
-2.06e-05,3.2,-1e-06,4.816326530612245,[0.3125],[0.20762712],[-5.59966057e-05],[-2.71828183e-06],0.9710795947554258,0.05051419625624428,-0.00046069940434800713,-1.2754420999939578e-06,-2.5e-05,-2.5e-05,649.6291643289167,26871.83302808,False,False
-2.06e-05,3.2,-1e-06,4.908163265306123,[0.3125],[0.2037422],[-5.59966057e-05],[-2.71828183e-06],0.938381397834498,0.050834454856827575,-0.00041493071266828196,-1.2833884463793732e-06,-2.5e-05,-2.5e-05,719.6320466765173,25591.358393923052,False,False
-2.06e-05,3.2,-1e-06,5.0,[0.3125],[0.2],[-5.59966057e-05],[-2.71828183e-06],0.9184562426499582,0.05122929637610478,-0.00038930031052876923,-1.2919419601676725e-06,-2.5e-05,-2.5e-05,771.3468116935471,24726.827573291386,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,0.5,[0.3125],[2.],[-5.59966057e-05],[-5.43656366e-06],0.0,0.0,-2.06e-05,-2.0000000000000003e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,0.5918367346938775,[0.3125],[1.68965517],[-5.59966057e-05],[-5.43656366e-06],8.082367507543335,1.6896551721671935,-3517835.8458243906,-5.4365636561246435e-06,-2.5e-05,-2.5e-05,8.883302511803982e-08,310794.70029960305,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,0.6836734693877551,[0.3125],[1.46268657],[-5.59966057e-05],[-5.43656366e-06],7.038653961715086,1.4626865672235099,-124675.94315812518,-5.436563657138614e-06,-2.5e-05,-2.5e-05,2.5064979848616866e-06,269046.1584571406,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,0.7755102040816326,[0.3125],[1.28947368],[-5.59966057e-05],[-5.43656366e-06],6.242135725709075,1.2894736849533952,-9746.025502360893,-5.436563660050108e-06,-2.5e-05,-2.5e-05,3.206435278785715e-05,237185.42902887694,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,0.8673469387755102,[0.3125],[1.15294118],[-5.59966057e-05],[-5.43656366e-06],0.0,0.0,-2.06e-05,-2.0000000000000003e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
